bill_number,dtg_date,lla_date,vetoed_by_gov,time_to_dtg
senate        Bill S4778,2011-05-27,2011-05-23,False,4 days
senate        Bill S4780,2011-07-08,2011-06-14,False,24 days
senate        Bill S4784,2011-07-22,2011-06-16,False,36 days
senate        Bill S4791,2011-07-22,2011-06-13,False,39 days
senate        Bill S4792,2011-07-22,2011-06-20,False,32 days
senate        Bill S4803,2011-07-22,2011-06-06,True,46 days
senate        Bill S4807,2011-09-12,2011-06-01,False,103 days
senate        Bill S4813,2011-12-22,2011-06-23,False,182 days
senate        Bill S4816,2011-09-12,2011-06-15,False,89 days
senate        Bill S4820,2011-09-12,2011-06-14,False,90 days
senate        Bill S4830A,2011-09-12,2011-06-13,False,91 days
senate        Bill S4838A,2011-07-22,2011-06-13,True,39 days
senate        Bill S4844A,2011-09-12,2011-06-22,False,82 days
senate        Bill S4845,2011-07-22,2011-06-16,False,36 days
senate        Bill S4846,2011-07-22,2011-06-16,False,36 days
senate        Bill S4849,2011-09-12,2011-06-13,False,91 days
senate        Bill S4851A,2011-10-04,2011-06-16,False,110 days
senate        Bill S4855A,2012-08-27,2012-06-20,False,68 days
senate        Bill S4861A,2011-07-22,2011-06-20,False,32 days
senate        Bill S4864,2011-07-22,2011-06-21,True,31 days
senate        Bill S4867,2011-07-22,2011-06-16,False,36 days
senate        Bill S4871,2011-07-22,2011-06-21,False,31 days
senate        Bill S4872,2011-07-22,2011-06-21,False,31 days
senate        Bill S4874,2011-07-22,2011-06-16,False,36 days
senate        Bill S4875B,2011-08-05,2011-06-07,False,59 days
senate        Bill S4876,2011-08-05,2011-06-21,False,45 days
senate        Bill S4886B,2011-07-22,2011-06-23,False,29 days
senate        Bill S4894A,2011-07-08,2011-06-17,False,21 days
senate        Bill S4895,2011-09-12,2011-06-22,False,82 days
senate        Bill S4898,2011-06-30,2011-06-21,False,9 days
senate        Bill S4899,2011-08-05,2011-06-20,False,46 days
senate        Bill S4900,2011-07-22,2011-06-16,False,36 days
senate        Bill S4901,2011-07-22,2011-06-14,False,38 days
senate        Bill S4912,2012-08-06,2012-06-21,False,46 days
senate        Bill S4918A,2011-09-12,2011-06-20,True,84 days
senate        Bill S4923,2011-07-22,2011-06-13,False,39 days
senate        Bill S4928,2011-07-08,2011-06-16,False,22 days
senate        Bill S4935B,2011-09-12,2011-06-22,True,82 days
senate        Bill S4938A,2011-07-22,2011-06-20,False,32 days
senate        Bill S4940B,2011-09-12,2011-06-13,False,91 days
senate        Bill S4941C,2011-07-22,2011-06-20,False,32 days
senate        Bill S4945,2011-07-08,2011-06-22,False,16 days
senate        Bill S4946A,2011-09-12,2011-06-16,False,88 days
senate        Bill S4953,2011-07-08,2011-06-13,False,25 days
senate        Bill S4964,2011-08-05,2011-06-06,False,60 days
senate        Bill S4965,2011-07-22,2011-06-06,False,46 days
senate        Bill S4966,2011-08-05,2011-06-06,False,60 days
senate        Bill S4967,2011-08-05,2011-06-06,False,60 days
senate        Bill S4968,2011-07-22,2011-06-06,False,46 days
senate        Bill S4969,2011-07-22,2011-06-06,False,46 days
senate        Bill S4970,2011-07-22,2011-06-06,False,46 days
senate        Bill S4971,2011-07-22,2011-06-06,False,46 days
senate        Bill S4972,2011-08-05,2011-06-06,False,60 days
senate        Bill S4973,2011-06-10,2011-06-06,False,4 days
senate        Bill S4974,2011-08-05,2011-06-06,False,60 days
senate        Bill S4975,2011-08-05,2011-06-06,False,60 days
senate        Bill S4976,2011-06-10,2011-06-06,False,4 days
senate        Bill S4977,2011-08-05,2011-06-06,False,60 days
senate        Bill S4978,2011-06-10,2011-06-06,False,4 days
senate        Bill S4979,2011-08-05,2011-06-06,False,60 days
senate        Bill S4980,2011-07-22,2011-06-06,False,46 days
senate        Bill S4981,2011-07-22,2011-06-06,False,46 days
senate        Bill S4982,2011-08-05,2011-06-06,False,60 days
senate        Bill S4983,2011-08-05,2011-06-06,False,60 days
senate        Bill S4984,2011-07-22,2011-06-06,False,46 days
senate        Bill S4987,2011-09-12,2011-06-17,True,87 days
senate        Bill S4988B,2012-08-27,2012-06-20,False,68 days
senate        Bill S4991B,2011-09-12,2011-06-21,True,83 days
senate        Bill S4992A,2011-07-08,2011-06-17,False,21 days
senate        Bill S4999,2011-07-08,2011-06-16,False,22 days
senate        Bill S5002,2011-07-08,2011-06-14,False,24 days
senate        Bill S5004,2011-08-05,2011-06-17,False,49 days
senate        Bill S5014A,2012-09-21,2012-06-21,True,92 days
senate        Bill S5025,2011-07-22,2011-06-14,False,38 days
senate        Bill S5026,2011-08-05,2011-06-16,False,50 days
senate        Bill S5040A,2012-07-06,2012-06-14,False,22 days
senate        Bill S5054A,2012-12-05,2012-06-21,True,167 days
senate        Bill S5055A,2011-07-08,2011-06-07,False,31 days
senate        Bill S5059,2011-07-22,2011-06-20,False,32 days
senate        Bill S5060B,2012-07-03,2012-06-21,False,12 days
senate        Bill S5072,2011-07-22,2011-06-21,False,31 days
senate        Bill S5075,2011-08-05,2011-06-20,False,46 days
senate        Bill S5082A,2011-07-08,2011-06-15,False,23 days
senate        Bill S5086A,2011-07-22,2011-06-06,False,46 days
senate        Bill S5087,2011-08-05,2011-06-06,False,60 days
senate        Bill S5098,2011-09-12,2011-06-21,True,83 days
senate        Bill S5105,2011-07-08,2011-06-15,False,23 days
senate        Bill S5106,2011-07-08,2011-06-15,False,23 days
senate        Bill S5109,2011-09-12,2011-06-20,False,84 days
senate        Bill S5117,2011-05-27,2011-05-25,False,2 days
senate        Bill S5125,2011-07-22,2011-06-21,False,31 days
senate        Bill S5132D,2012-12-05,2012-06-19,False,169 days
senate        Bill S5133,2011-07-22,2011-06-16,False,36 days
senate        Bill S5134,2011-07-22,2011-06-06,False,46 days
senate        Bill S5135,2012-07-06,2012-06-12,False,24 days
senate        Bill S5137,2011-08-05,2011-06-21,False,45 days
senate        Bill S5138A,2011-08-05,2011-06-13,False,53 days
senate        Bill S5140B,2011-08-05,2011-06-16,False,50 days
senate        Bill S5145,2012-09-21,2012-06-14,False,99 days
senate        Bill S5155D,2012-09-21,2012-06-20,True,93 days
senate        Bill S5157,2011-08-05,2011-06-14,False,52 days
senate        Bill S5158,2011-07-22,2011-06-20,False,32 days
senate        Bill S5163A,2011-07-22,2011-06-06,False,46 days
senate        Bill S5168A,2011-07-22,2011-06-23,False,29 days
senate        Bill S5192,2011-07-22,2011-06-06,False,46 days
senate        Bill S5193,2011-08-05,2011-06-06,False,60 days
senate        Bill S5194,2011-08-05,2011-06-06,False,60 days
senate        Bill S5195,2011-08-05,2011-06-06,False,60 days
senate        Bill S5196,2011-08-05,2011-06-07,False,59 days
senate        Bill S5198D,2012-08-06,2012-06-18,False,49 days
senate        Bill S5200,2011-07-22,2011-06-20,False,32 days
senate        Bill S5203A,2011-09-12,2011-06-20,False,84 days
senate        Bill S5208C,2012-07-06,2012-06-21,False,15 days
senate        Bill S5211,2011-07-22,2011-06-15,False,37 days
senate        Bill S5216C,2011-07-22,2011-06-22,False,30 days
senate        Bill S5223B,2011-07-08,2011-06-20,False,18 days
senate        Bill S5225,2011-07-22,2011-06-06,False,46 days
senate        Bill S5227B,2012-08-06,2012-06-19,False,48 days
senate        Bill S5234A,2011-07-22,2011-06-14,False,38 days
senate        Bill S5235A,2012-09-21,2012-06-21,True,92 days
senate        Bill S5240B,2012-07-06,2012-06-12,False,24 days
senate        Bill S5244,2011-07-22,2011-06-20,False,32 days
senate        Bill S5253B,2011-09-12,2011-06-21,False,83 days
senate        Bill S5259A,2011-07-08,2011-06-20,False,18 days
senate        Bill S5261A,2011-08-05,2011-06-13,False,53 days
senate        Bill S5293,2011-09-12,2011-06-16,False,88 days
senate        Bill S5308,2011-07-22,2011-06-16,False,36 days
senate        Bill S5309,2011-08-05,2011-06-17,True,49 days
senate        Bill S5317,2011-09-12,2011-06-23,True,81 days
senate        Bill S5320,2011-07-22,2011-06-16,False,36 days
senate        Bill S5325,2011-08-05,2011-06-15,True,51 days
senate        Bill S5326,2011-09-12,2011-06-21,False,83 days
senate        Bill S5331,2011-07-08,2011-06-15,False,23 days
senate        Bill S5332A,2011-08-05,2011-06-06,False,60 days
senate        Bill S5336A,2012-08-06,2012-06-21,True,46 days
senate        Bill S5339,2011-06-29,2011-06-13,False,16 days
senate        Bill S5342,2011-08-05,2011-06-14,False,52 days
senate        Bill S5343,2012-07-20,2012-06-14,False,36 days
senate        Bill S5349,2011-10-04,2011-06-15,False,111 days
senate        Bill S5352,2011-07-08,2011-06-15,False,23 days
senate        Bill S5353,2011-05-18,2011-05-18,False,0 days
senate        Bill S5355,2011-09-12,2011-06-20,True,84 days
senate        Bill S5356D,2012-09-21,2012-06-21,True,92 days
senate        Bill S5362,2011-08-05,2011-06-21,False,45 days
senate        Bill S5366,2011-07-22,2011-06-14,False,38 days
senate        Bill S5368,2011-07-22,2011-06-15,False,37 days
senate        Bill S5372,2011-07-22,2011-06-14,False,38 days
senate        Bill S5375,2011-07-22,2011-06-02,False,50 days
senate        Bill S5376,2011-08-05,2011-06-13,False,53 days
senate        Bill S5380B,2011-07-08,2011-06-20,False,18 days
senate        Bill S5385,2011-07-08,2011-06-14,False,24 days
senate        Bill S5395,2011-09-12,2011-06-20,False,84 days
senate        Bill S5396,2011-09-12,2011-06-23,False,81 days
senate        Bill S5404A,2012-12-28,2012-06-20,False,191 days
senate        Bill S5405,2011-06-29,2011-06-06,False,23 days
senate        Bill S5411A,2011-08-15,2011-06-20,False,56 days
senate        Bill S5413,2011-08-05,2011-06-23,False,43 days
senate        Bill S5415A,2011-09-12,2011-06-16,False,88 days
senate        Bill S5420C,2012-07-06,2012-06-20,False,16 days
senate        Bill S5423B,2012-09-21,2012-06-20,True,93 days
senate        Bill S5431A,2011-09-12,2011-06-20,True,84 days
senate        Bill S5432,2011-09-12,2011-06-14,False,90 days
senate        Bill S5434,2011-08-05,2011-06-16,False,50 days
senate        Bill S5437,2011-09-12,2011-06-14,False,90 days
senate        Bill S5442,2011-07-08,2011-06-15,False,23 days
senate        Bill S5443A,2011-09-12,2011-06-20,False,84 days
senate        Bill S5444,2011-09-12,2011-06-21,True,83 days
senate        Bill S5447,2011-08-05,2011-06-20,False,46 days
senate        Bill S5449,2011-07-08,2011-06-16,False,22 days
senate        Bill S5452B,2011-09-12,2011-06-23,False,81 days
senate        Bill S5455B,2011-07-08,2011-06-22,False,16 days
senate        Bill S5459,2011-09-12,2011-06-23,False,81 days
senate        Bill S5460A,2011-07-08,2011-06-20,False,18 days
senate        Bill S5461,2012-08-06,2012-06-21,False,46 days
senate        Bill S5464,2011-07-08,2011-06-14,False,24 days
senate        Bill S5470,2011-08-05,2011-06-15,False,51 days
senate        Bill S5471,2011-08-05,2011-06-15,False,51 days
senate        Bill S5474,2011-07-22,2011-06-21,False,31 days
senate        Bill S5475,2011-07-22,2011-06-16,False,36 days
senate        Bill S5477A,2011-09-12,2011-06-16,False,88 days
senate        Bill S5478,2011-08-05,2011-06-15,False,51 days
senate        Bill S5479,2011-07-22,2011-06-17,False,35 days
senate        Bill S5481A,2011-09-12,2011-06-17,False,87 days
senate        Bill S5482,2011-07-08,2011-06-21,True,17 days
senate        Bill S5483,2011-07-08,2011-06-15,False,23 days
senate        Bill S5485,2011-07-08,2011-06-16,False,22 days
senate        Bill S5486,2011-06-30,2011-06-16,False,14 days
senate        Bill S5492,2011-07-22,2011-06-22,False,30 days
senate        Bill S5496,2012-07-06,2012-06-11,False,25 days
senate        Bill S5501,2011-07-08,2011-06-17,False,21 days
senate        Bill S5504C,2012-08-06,2012-06-11,False,56 days
senate        Bill S5507,2011-07-08,2011-06-16,False,22 days
senate        Bill S5508B,2012-07-20,2012-06-19,False,31 days
senate        Bill S5510A,2012-07-20,2012-06-21,False,29 days
senate        Bill S5511B,2011-07-08,2011-06-20,False,18 days
senate        Bill S5512,2011-09-12,2011-06-15,False,89 days
senate        Bill S5513,2012-07-20,2012-06-20,False,30 days
senate        Bill S5519,2011-09-12,2011-06-16,False,88 days
senate        Bill S5524,2011-09-12,2011-06-16,False,88 days
senate        Bill S5525C,2012-07-20,2012-06-21,False,29 days
senate        Bill S5527,2011-07-08,2011-06-16,False,22 days
senate        Bill S5529A,2011-07-08,2011-06-17,True,21 days
senate        Bill S5531,2011-06-30,2011-06-15,False,15 days
senate        Bill S5532A,2011-07-08,2011-06-17,False,21 days
senate        Bill S5533,2012-07-20,2012-03-01,True,141 days
senate        Bill S5534,2011-07-22,2011-06-14,False,38 days
senate        Bill S5537,2011-07-08,2011-06-15,False,23 days
senate        Bill S5540,2011-08-05,2011-06-21,False,45 days
senate        Bill S5542,2011-07-08,2011-06-14,False,24 days
senate        Bill S5545C,2011-08-05,2011-06-21,False,45 days
senate        Bill S5547,2011-07-22,2011-06-20,False,32 days
senate        Bill S5551,2011-07-22,2011-06-20,False,32 days
senate        Bill S5552,2011-08-05,2011-06-21,False,45 days
senate        Bill S5553,2011-07-22,2011-06-20,False,32 days
senate        Bill S5554,2011-08-05,2011-06-17,False,49 days
senate        Bill S5555,2011-08-05,2011-06-20,False,46 days
senate        Bill S5556,2011-09-12,2011-06-23,False,81 days
senate        Bill S5557B,2012-07-06,2012-06-19,False,17 days
senate        Bill S5558,2011-09-12,2011-06-21,False,83 days
senate        Bill S5561,2011-07-08,2011-06-14,False,24 days
senate        Bill S5562,2011-07-08,2011-06-20,False,18 days
senate        Bill S5563,2012-08-06,2012-06-20,False,47 days
senate        Bill S5564,2011-07-08,2011-06-16,False,22 days
senate        Bill S5569,2011-07-22,2011-06-15,False,37 days
senate        Bill S5570,2011-08-05,2011-06-20,True,46 days
senate        Bill S5571,2011-07-22,2011-06-22,False,30 days
senate        Bill S5576B,2012-09-21,2012-06-21,False,92 days
senate        Bill S5582,2011-08-05,2011-06-14,False,52 days
senate        Bill S5587C,2011-11-30,2011-06-21,True,162 days
senate        Bill S5588,2011-07-22,2011-06-21,False,31 days
senate        Bill S5591,2011-08-05,2011-06-17,True,49 days
senate        Bill S5593,2011-07-08,2011-06-15,False,23 days
senate        Bill S5601,2011-08-05,2011-06-16,False,50 days
senate        Bill S5605,2011-09-12,2011-06-16,False,88 days
senate        Bill S5608,2011-07-08,2011-06-20,False,18 days
senate        Bill S5610,2011-07-22,2011-06-22,False,30 days
senate        Bill S5612,2012-07-20,2012-06-21,False,29 days
senate        Bill S5623,2011-07-08,2011-06-20,False,18 days
senate        Bill S5628,2011-08-05,2011-06-17,False,49 days
senate        Bill S5633B,2011-12-22,2011-06-21,True,184 days
senate        Bill S5634F,2012-08-06,2012-06-21,False,46 days
senate        Bill S5635B,2011-09-12,2011-06-23,False,81 days
senate        Bill S5637,2011-09-12,2011-06-23,False,81 days
senate        Bill S5638,2011-07-08,2011-06-15,False,23 days
senate        Bill S5640,2011-07-22,2011-06-16,False,36 days
senate        Bill S5643,2011-07-08,2011-06-14,False,24 days
senate        Bill S5644,2011-07-22,2011-06-17,False,35 days
senate        Bill S5645,2011-09-12,2011-06-20,False,84 days
senate        Bill S5649,2011-07-08,2011-06-22,False,16 days
senate        Bill S5650D,2012-08-06,2012-06-21,False,46 days
senate        Bill S5651,2011-07-22,2011-06-14,False,38 days
senate        Bill S5653,2011-09-12,2011-06-22,False,82 days
senate        Bill S5655,2011-08-05,2011-06-21,False,45 days
senate        Bill S5656,2011-09-12,2011-06-20,False,84 days
senate        Bill S5657,2011-09-12,2011-06-17,False,87 days
senate        Bill S5658,2011-07-22,2011-06-24,False,28 days
senate        Bill S5663,2011-09-12,2011-06-17,False,87 days
senate        Bill S5665,2011-06-21,2011-06-16,False,5 days
senate        Bill S5666,2011-09-12,2011-06-23,True,81 days
senate        Bill S5667,2011-08-05,2011-06-17,False,49 days
senate        Bill S5668,2011-09-12,2011-06-22,False,82 days
senate        Bill S5671A,2012-12-05,2012-06-11,True,177 days
senate        Bill S5672A,2011-09-12,2011-06-20,False,84 days
senate        Bill S5673,2012-05-21,2012-04-30,False,21 days
senate        Bill S5677,2011-07-22,2011-06-20,False,32 days
senate        Bill S5678,2011-07-08,2011-06-20,False,18 days
senate        Bill S5679,2011-08-15,2011-06-13,False,63 days
senate        Bill S5683,2011-08-05,2011-06-20,False,46 days
senate        Bill S5687,2011-07-22,2011-06-20,False,32 days
senate        Bill S5688,2011-07-22,2011-06-20,False,32 days
senate        Bill S5691B,2012-07-20,2012-06-21,False,29 days
senate        Bill S5694A,2011-12-28,2011-06-20,False,191 days
senate        Bill S5701,2011-09-12,2011-06-22,True,82 days
senate        Bill S5702A,2012-07-06,2012-06-13,False,23 days
senate        Bill S5704,2011-07-08,2011-06-17,False,21 days
senate        Bill S5705,2011-07-22,2011-06-20,False,32 days
senate        Bill S5706A,2011-07-08,2011-06-17,False,21 days
senate        Bill S5707,2012-08-06,2012-06-21,True,46 days
senate        Bill S5713,2011-07-08,2011-06-17,False,21 days
senate        Bill S5717,2011-09-12,2011-06-23,False,81 days
senate        Bill S5719A,2011-09-12,2011-06-24,False,80 days
senate        Bill S5734A,2011-11-30,2011-06-21,True,162 days
senate        Bill S5737,2011-07-22,2011-06-21,False,31 days
senate        Bill S5739A,2011-07-22,2011-06-20,False,32 days
senate        Bill S5742,2011-08-05,2011-06-23,False,43 days
senate        Bill S5743A,2011-12-22,2011-06-21,True,184 days
senate        Bill S5745,2011-12-28,2011-06-21,False,190 days
senate        Bill S5746,2011-07-22,2011-06-20,False,32 days
senate        Bill S5747,2011-08-05,2011-06-22,True,44 days
senate        Bill S5748,2011-08-05,2011-06-21,True,45 days
senate        Bill S5751,2011-07-22,2011-06-20,False,32 days
senate        Bill S5753,2011-07-08,2011-06-17,False,21 days
senate        Bill S5755,2011-09-12,2011-06-20,False,84 days
senate        Bill S5756,2011-07-08,2011-06-22,True,16 days
senate        Bill S5757,2011-08-05,2011-06-22,False,44 days
senate        Bill S5760,2011-07-08,2011-06-17,False,21 days
senate        Bill S5765A,2012-08-06,2012-06-19,False,48 days
senate        Bill S5770,2011-07-08,2011-06-20,False,18 days
senate        Bill S5771A,2012-08-06,2012-06-21,True,46 days
senate        Bill S5775,2011-09-12,2011-06-20,False,84 days
senate        Bill S5776,2011-07-08,2011-06-21,False,17 days
senate        Bill S5778,2011-07-11,2011-06-22,False,19 days
senate        Bill S5782,2011-06-21,2011-06-20,False,1 days
senate        Bill S5784,2011-08-05,2011-06-20,False,46 days
senate        Bill S5792,2011-09-12,2011-06-22,False,82 days
senate        Bill S5793,2011-09-12,2011-06-20,False,84 days
senate        Bill S5795,2011-09-12,2011-06-20,False,84 days
senate        Bill S5796,2011-12-28,2011-06-22,False,189 days
senate        Bill S5799,2011-11-30,2011-06-21,False,162 days
senate        Bill S5800,2011-07-08,2011-06-22,False,16 days
senate        Bill S5801,2011-08-05,2011-06-23,False,43 days
senate        Bill S5803,2011-07-22,2011-06-20,False,32 days
senate        Bill S5804,2011-08-05,2011-06-23,True,43 days
senate        Bill S5806,2011-08-05,2011-06-21,False,45 days
senate        Bill S5811,2011-08-05,2011-06-22,False,44 days
senate        Bill S5818,2012-07-20,2012-06-04,False,46 days
senate        Bill S5825,2011-12-09,2011-06-24,False,168 days
senate        Bill S5828,2011-09-12,2011-06-22,True,82 days
senate        Bill S5833,2011-07-22,2011-06-24,False,28 days
senate        Bill S5836,2011-07-08,2011-06-22,False,16 days
senate        Bill S5837,2011-09-12,2011-06-23,False,81 days
senate        Bill S5840,2011-06-21,2011-06-21,False,0 days
senate        Bill S5844,2011-08-04,2011-06-22,False,43 days
senate        Bill S5845,2011-10-31,2011-06-23,False,130 days
senate        Bill S5846,2011-08-05,2011-06-23,False,43 days
senate        Bill S5847,2011-06-22,2011-06-22,False,0 days
senate        Bill S5850A,2012-07-20,2012-06-12,False,38 days
senate        Bill S5851,2011-07-08,2011-06-24,False,14 days
senate        Bill S5855,2011-08-01,2011-06-24,False,38 days
senate        Bill S5902B,2012-07-12,2012-06-21,False,21 days
senate        Bill S5903,2012-07-12,2012-06-21,False,21 days
senate        Bill S5917A,2012-01-11,2012-01-09,False,2 days
senate        Bill S6027B,2012-05-21,2012-03-29,False,53 days
senate        Bill S6039,2012-07-06,2012-06-19,False,17 days
senate        Bill S6054A,2012-02-07,2012-02-06,False,1 days
senate        Bill S6055,2012-02-07,2012-02-06,False,1 days
senate        Bill S6058B,2012-07-06,2012-06-06,False,30 days
senate        Bill S6061A,2012-07-03,2012-06-11,False,22 days
senate        Bill S6064,2012-04-16,2012-03-05,False,42 days
senate        Bill S6068,2012-09-21,2012-06-06,False,107 days
senate        Bill S6069B,2012-07-20,2012-06-19,False,31 days
senate        Bill S6078B,2012-07-06,2012-06-14,False,22 days
senate        Bill S6084B,2012-05-21,2012-05-07,False,14 days
senate        Bill S6107A,2012-01-31,2012-01-30,False,1 days
senate        Bill S6113A,2012-08-06,2012-06-14,False,53 days
senate        Bill S6114A,2012-07-06,2012-06-04,False,32 days
senate        Bill S6116A,2012-01-25,2012-01-18,False,7 days
senate        Bill S6117,2012-01-25,2012-01-18,False,7 days
senate        Bill S6118A,2012-02-07,2012-02-06,False,1 days
senate        Bill S6121,2012-02-07,2012-02-06,False,1 days
senate        Bill S6124,2012-01-25,2012-01-18,False,7 days
senate        Bill S6126,2012-02-07,2012-02-06,False,1 days
senate        Bill S6127,2012-08-06,2012-05-30,False,68 days
senate        Bill S6128,2012-01-31,2012-01-30,False,1 days
senate        Bill S6131,2012-01-25,2012-01-18,False,7 days
senate        Bill S6134,2012-12-05,2012-06-19,True,169 days
senate        Bill S6136,2012-01-31,2012-01-30,False,1 days
senate        Bill S6153,2012-05-07,2012-03-19,False,49 days
senate        Bill S6162A,2012-07-06,2012-06-14,False,22 days
senate        Bill S6171A,2012-12-05,2012-06-20,True,168 days
senate        Bill S6176,2012-07-20,2012-06-19,False,31 days
senate        Bill S6177,2012-07-20,2012-06-19,False,31 days
senate        Bill S6185,2012-07-06,2012-06-11,False,25 days
senate        Bill S6186,2012-07-06,2012-06-19,False,17 days
senate        Bill S6192,2012-06-22,2012-05-30,False,23 days
senate        Bill S6193,2012-07-06,2012-06-04,False,32 days
senate        Bill S6195,2012-07-06,2012-06-06,False,30 days
senate        Bill S6202,2012-12-05,2012-06-18,False,170 days
senate        Bill S6203A,2012-07-06,2012-06-12,False,24 days
senate        Bill S6219,2012-05-07,2012-03-14,False,54 days
senate        Bill S6222,2012-05-07,2012-04-25,False,12 days
senate        Bill S6224A,2012-08-06,2012-06-21,False,46 days
senate        Bill S6228B,2012-09-21,2012-06-21,False,92 days
senate        Bill S6231A,2012-07-03,2012-06-14,False,19 days
senate        Bill S6233A,2012-07-06,2012-06-04,False,32 days
senate        Bill S6237,2012-07-06,2012-05-31,False,36 days
senate        Bill S6240,2012-07-06,2012-06-11,False,25 days
senate        Bill S6249B,2012-12-05,2012-06-21,False,167 days
senate        Bill S6250D,2012-03-30,2012-03-30,False,0 days
senate        Bill S6251B,2012-03-30,2012-03-29,False,1 days
senate        Bill S6252,2012-03-30,2012-03-20,False,10 days
senate        Bill S6253E,2012-03-30,2012-03-30,False,0 days
senate        Bill S6254D,2012-03-30,2012-03-30,False,0 days
senate        Bill S6255D,2012-03-30,2012-03-28,False,2 days
senate        Bill S6256D,2012-03-30,2012-03-30,False,0 days
senate        Bill S6257E,2012-03-30,2012-03-30,False,0 days
senate        Bill S6258D,2012-03-30,2012-03-28,False,2 days
senate        Bill S6259D,2012-03-30,2012-03-30,False,0 days
senate        Bill S6260C,2012-03-30,2012-03-28,False,2 days
senate        Bill S6268D,2012-08-06,2012-06-21,False,46 days
senate        Bill S6280A,2012-02-06,2012-01-31,False,6 days
senate        Bill S6284,2012-07-06,2012-06-19,False,17 days
senate        Bill S6285A,2012-08-06,2012-06-18,True,49 days
senate        Bill S6287,2012-05-07,2012-03-28,False,40 days
senate        Bill S6296A,2012-09-21,2012-06-20,False,93 days
senate        Bill S6297B,2012-07-06,2012-06-20,False,16 days
senate        Bill S6298A,2012-07-06,2012-06-11,False,25 days
senate        Bill S6301,2012-07-06,2012-06-04,False,32 days
senate        Bill S6305B,2012-07-20,2012-06-19,True,31 days
senate        Bill S6307A,2012-05-21,2012-04-30,False,21 days
senate        Bill S6308A,2012-09-21,2012-05-30,False,114 days
senate        Bill S6313,2012-07-06,2012-06-19,False,17 days
senate        Bill S6314,2012-07-06,2012-06-12,False,24 days
senate        Bill S6319,2012-12-05,2012-06-20,True,168 days
senate        Bill S6320,2012-12-05,2012-06-21,True,167 days
senate        Bill S6328,2012-07-20,2012-06-20,True,30 days
senate        Bill S6332,2012-09-21,2012-05-30,False,114 days
senate        Bill S6341B,2012-08-27,2012-06-18,False,70 days
senate        Bill S6354,2012-07-06,2012-05-16,False,51 days
senate        Bill S6363,2012-07-06,2012-06-19,False,17 days
senate        Bill S6366A,2012-08-06,2012-06-13,False,54 days
senate        Bill S6371A,2012-07-06,2012-06-12,False,24 days
senate        Bill S6373,2012-06-28,2012-06-13,False,15 days
senate        Bill S6374,2012-05-21,2012-05-15,False,6 days
senate        Bill S6376,2012-07-06,2012-06-11,False,25 days
senate        Bill S6377,2012-07-06,2012-05-30,False,37 days
senate        Bill S6378,2012-07-06,2012-06-14,False,22 days
senate        Bill S6379,2012-07-06,2012-06-14,False,22 days
senate        Bill S6382,2012-07-06,2012-06-21,False,15 days
senate        Bill S6383,2012-04-16,2012-03-29,False,18 days
senate        Bill S6394,2012-07-06,2012-06-21,False,15 days
senate        Bill S6395C,2012-07-20,2012-06-14,True,36 days
senate        Bill S6399,2012-07-06,2012-06-19,False,17 days
senate        Bill S6401A,2012-04-02,2012-03-19,False,14 days
senate        Bill S6415,2012-06-22,2012-05-07,False,46 days
senate        Bill S6422,2012-07-06,2012-06-14,False,22 days
senate        Bill S6424,2012-07-06,2012-06-13,False,23 days
senate        Bill S6426,2012-09-21,2012-06-18,False,95 days
senate        Bill S6428,2012-07-06,2012-06-21,False,15 days
senate        Bill S6429A,2012-07-20,2012-06-20,False,30 days
senate        Bill S6430,2012-04-02,2012-03-07,False,26 days
senate        Bill S6436,2012-09-21,2012-06-21,True,92 days
senate        Bill S6438A,2012-07-20,2012-06-19,False,31 days
senate        Bill S6447B,2012-09-21,2012-06-19,False,94 days
senate        Bill S6450A,2012-07-20,2012-05-14,False,67 days
senate        Bill S6451A,2012-07-20,2012-06-20,False,30 days
senate        Bill S6457A,2012-07-20,2012-06-05,False,45 days
senate        Bill S6460,2012-06-22,2012-06-06,False,16 days
senate        Bill S6462,2012-07-06,2012-05-09,False,58 days
senate        Bill S6463,2012-12-05,2012-06-19,True,169 days
senate        Bill S6466B,2012-07-06,2012-06-20,False,16 days
senate        Bill S6469,2012-12-05,2012-06-04,True,184 days
senate        Bill S6471,2012-04-16,2012-03-27,False,20 days
senate        Bill S6478,2012-08-06,2012-06-19,True,48 days
senate        Bill S6480,2012-08-06,2012-06-19,False,48 days
senate        Bill S6481A,2012-05-14,2012-05-02,False,12 days
senate        Bill S6483,2012-08-06,2012-06-14,False,53 days
senate        Bill S6490A,2012-09-21,2012-06-20,True,93 days
senate        Bill S6491,2012-08-06,2012-06-13,False,54 days
senate        Bill S6493B,2012-09-21,2012-06-20,True,93 days
senate        Bill S6500,2012-07-06,2012-04-25,False,72 days
senate        Bill S6501,2012-07-06,2012-06-19,False,17 days
senate        Bill S6507A,2012-07-06,2012-05-21,False,46 days
senate        Bill S6511A,2012-09-21,2012-06-21,True,92 days
senate        Bill S6513,2012-07-06,2012-06-14,False,22 days
senate        Bill S6517,2012-06-22,2012-06-04,False,18 days
senate        Bill S6522B,2012-08-06,2012-06-20,False,47 days
senate        Bill S6526A,2012-09-21,2012-06-20,False,93 days
senate        Bill S6531,2012-07-06,2012-06-19,False,17 days
senate        Bill S6536,2012-07-06,2012-05-07,False,60 days
