bill_number,dtg_date,lla_date,vetoed_by_gov,time_to_dtg
senate        Bill S2635A,2011-07-08,2011-06-16,False,22 days
senate        Bill S2686B,2012-08-06,2012-06-14,True,53 days
senate        Bill S2704A,2012-08-06,2012-05-30,False,68 days
senate        Bill S2705A,2011-08-05,2011-06-22,False,44 days
senate        Bill S2713A,2011-11-30,2011-06-22,False,161 days
senate        Bill S2716,2011-07-22,2011-06-13,False,39 days
senate        Bill S2747A,2012-08-06,2012-06-19,False,48 days
senate        Bill S2752,2011-05-27,2011-05-23,False,4 days
senate        Bill S2756,2011-05-20,2011-05-17,False,3 days
senate        Bill S2765,2011-08-05,2011-06-16,True,50 days
senate        Bill S2769B,2011-08-05,2011-06-15,False,51 days
senate        Bill S2776,2011-09-12,2011-06-22,True,82 days
senate        Bill S2778,2011-05-20,2011-05-09,False,11 days
senate        Bill S2779,2011-09-12,2011-06-13,False,91 days
senate        Bill S2781,2011-04-01,2011-03-16,False,16 days
senate        Bill S2787,2011-05-27,2011-05-23,False,4 days
senate        Bill S2800E,2011-03-30,2011-03-29,False,1 days
senate        Bill S2801A,2011-03-30,2011-03-30,False,0 days
senate        Bill S2802,2011-03-24,2011-03-16,False,8 days
senate        Bill S2803E,2011-03-30,2011-03-30,False,0 days
senate        Bill S2804D,2011-03-30,2011-03-30,False,0 days
senate        Bill S2807C,2011-03-30,2011-03-30,False,0 days
senate        Bill S2808D,2011-03-30,2011-03-30,False,0 days
senate        Bill S2809D,2011-03-30,2011-03-30,False,0 days
senate        Bill S2810C,2011-03-30,2011-03-29,False,1 days
senate        Bill S2811C,2011-03-30,2011-03-30,False,0 days
senate        Bill S2812C,2011-03-30,2011-03-29,False,1 days
senate        Bill S2835A,2011-08-05,2011-06-20,True,46 days
senate        Bill S2840A,2011-07-22,2011-06-13,False,39 days
senate        Bill S2874B,2012-07-06,2012-05-30,False,37 days
senate        Bill S2877A,2011-08-05,2011-06-16,False,50 days
senate        Bill S2899A,2012-07-20,2012-06-21,False,29 days
senate        Bill S2911A,2011-08-05,2011-06-16,False,50 days
senate        Bill S2912,2011-05-27,2011-05-23,False,4 days
senate        Bill S2914A,2011-07-22,2011-06-16,False,36 days
senate        Bill S2915,2011-07-08,2011-06-23,False,15 days
senate        Bill S2917A,2012-07-06,2012-06-18,False,18 days
senate        Bill S2923,2011-05-27,2011-05-23,False,4 days
senate        Bill S2926B,2012-08-27,2012-06-21,False,67 days
senate        Bill S2933,2012-07-20,2012-06-11,False,39 days
senate        Bill S2935B,2012-08-06,2012-06-21,False,46 days
senate        Bill S2952B,2011-07-22,2011-06-17,False,35 days
senate        Bill S2953A,2011-08-05,2011-06-21,False,45 days
senate        Bill S2982,2011-05-27,2011-05-23,False,4 days
senate        Bill S2983,2011-08-05,2011-06-20,False,46 days
senate        Bill S2984,2011-07-22,2011-06-06,False,46 days
senate        Bill S2985,2011-05-06,2011-05-02,False,4 days
senate        Bill S2987,2011-09-12,2011-06-06,False,98 days
senate        Bill S3034,2011-07-22,2011-06-20,False,32 days
senate        Bill S3036,2011-07-22,2011-06-16,False,36 days
senate        Bill S3037,2011-08-05,2011-06-13,False,53 days
senate        Bill S3060,2011-07-22,2011-06-16,False,36 days
senate        Bill S3080,2012-08-06,2012-06-20,False,47 days
senate        Bill S3081,2011-06-10,2011-06-06,False,4 days
senate        Bill S3101,2011-08-05,2011-06-16,False,50 days
senate        Bill S3102,2011-07-08,2011-06-06,False,32 days
senate        Bill S3110,2011-09-12,2011-06-01,False,103 days
senate        Bill S3111B,2011-09-12,2011-06-16,False,88 days
senate        Bill S3134B,2012-12-05,2012-06-21,False,167 days
senate        Bill S3136A,2012-07-06,2012-06-21,False,15 days
senate        Bill S3151,2011-07-08,2011-05-24,False,45 days
senate        Bill S3170,2012-07-20,2012-05-21,False,60 days
senate        Bill S3176,2011-06-03,2011-05-09,False,25 days
senate        Bill S3179,2011-07-22,2011-06-13,False,39 days
senate        Bill S3182,2011-07-22,2011-06-06,False,46 days
senate        Bill S3184A,2011-09-12,2011-06-23,True,81 days
senate        Bill S3200B,2012-05-21,2012-05-15,False,6 days
senate        Bill S3203B,2012-08-06,2012-06-21,False,46 days
senate        Bill S3216,2011-02-16,2011-02-14,False,2 days
senate        Bill S3237A,2011-07-22,2011-06-20,False,32 days
senate        Bill S3241,2011-05-06,2011-05-04,False,2 days
senate        Bill S3242,2011-07-22,2011-06-16,False,36 days
senate        Bill S3247A,2011-07-22,2011-06-16,False,36 days
senate        Bill S3250A,2011-08-05,2011-06-06,False,60 days
senate        Bill S3251,2011-09-12,2011-06-13,True,91 days
senate        Bill S3252B,2011-07-08,2011-06-14,False,24 days
senate        Bill S3255B,2011-12-22,2011-06-22,False,183 days
senate        Bill S3263A,2011-07-22,2011-06-15,False,37 days
senate        Bill S3279,2011-07-22,2011-06-20,False,32 days
senate        Bill S3293B,2011-07-22,2011-06-16,False,36 days
senate        Bill S3322B,2011-07-08,2011-06-17,False,21 days
senate        Bill S3330A,2012-07-20,2012-06-21,False,29 days
senate        Bill S3335,2011-09-12,2011-06-15,True,89 days
senate        Bill S3339,2011-07-08,2011-06-02,False,36 days
senate        Bill S3392,2011-05-06,2011-05-02,False,4 days
senate        Bill S3399,2011-06-10,2011-06-01,False,9 days
senate        Bill S3401,2011-09-12,2011-06-20,False,84 days
senate        Bill S3402,2011-09-12,2011-06-16,False,88 days
senate        Bill S3403,2011-09-12,2011-06-15,True,89 days
senate        Bill S3407A,2011-05-20,2011-05-09,False,11 days
senate        Bill S3412B,2011-08-05,2011-06-17,False,49 days
senate        Bill S3413A,2011-07-22,2011-06-16,False,36 days
senate        Bill S3418A,2011-07-08,2011-06-15,False,23 days
senate        Bill S3421,2011-07-22,2011-06-14,False,38 days
senate        Bill S3445B,2012-12-05,2012-06-21,True,167 days
senate        Bill S3451B,2011-07-08,2011-06-21,False,17 days
senate        Bill S3461C,2011-08-05,2011-06-16,False,50 days
